Fluo 0.1 target,,Fluo 0.1 target,,Fluo 0.08 target,,Fluo 0.06 target,,Fluo 0.04 target,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
508.9640503,0.7162277699,,,508.9640503,0.6289396882,508.9640503,0.4703128934,508.9640503,0.3119428754,
508.0561218,0.8056498766,,,508.0561218,0.7044816017,508.0561218,0.5286710858,508.0561218,0.34950912,
506.9966431,0.9169805646,,,506.9966431,0.8048191071,506.9966431,0.60590446,506.9966431,0.4013102949,
505.9369202,1.061062217,,,505.9369202,0.9339702725,505.9369202,0.7021449208,505.9369202,0.4658556581,
505.0284119,1.20388329,,,505.0284119,1.061980963,505.0284119,0.7982156277,505.0284119,0.5309211016,
503.9682617,1.373461604,,,503.9682617,1.205498338,503.9682617,0.9078142047,503.9682617,0.6014133096,
503.0593872,1.50570786,,,503.0593872,1.327523351,503.0593872,0.9985934496,503.0593872,0.6649794579,
501.9987793,1.655825019,,,501.9987793,1.464871526,501.9987793,1.101631641,501.9987793,0.7327585816,
500.9379578,1.799584508,,,500.9379578,1.600816727,500.9379578,1.207419991,500.9379578,0.8040020466,
500.0284729,1.971675754,,,500.0284729,1.748710036,500.0284729,1.3222363,500.0284729,0.8840530515,
498.9672241,2.124471426,,,498.9672241,1.889851928,498.9672241,1.438809037,498.9672241,0.9591525197,
498.057373,2.244484663,,,498.057373,2.002871513,498.057373,1.5284307,498.057373,1.022966146,
496.9956665,2.350217819,,,496.9956665,2.106604815,496.9956665,1.613587379,496.9956665,1.076191306,
495.9337158,2.436412811,,,495.9337158,2.201406479,495.9337158,1.693894982,495.9337158,1.13463223,
495.0232849,2.521691799,,,495.0232849,2.283526421,495.0232849,1.770387053,495.0232849,1.186936378,
493.960907,2.586627245,,,493.960907,2.362819195,493.960907,1.842835784,493.960907,1.238244295,
493.0501404,2.660450697,,,493.0501404,2.425461054,493.0501404,1.891454577,493.0501404,1.26939106,
491.9873047,2.702614069,,,491.9873047,2.463461399,491.9873047,1.919583797,491.9873047,1.288437724,
490.9242859,2.68397522,,,490.9242859,2.470085382,490.9242859,1.927992225,490.9242859,1.298681736,
490.0129089,2.698413849,,,490.0129089,2.461336613,490.0129089,1.932917953,490.0129089,1.299808741,
488.9494324,2.672287703,,,488.9494324,2.456284761,488.9494324,1.918694139,488.9494324,1.288722038,
488.0377197,2.659793139,,,488.0377197,2.438064337,488.0377197,1.896119952,488.0377197,1.272167325,
486.9738159,2.619510174,,,486.9738159,2.391926289,486.9738159,1.857970476,486.9738159,1.244375348,
486.0617371,2.580311775,,,486.0617371,2.349414349,486.0617371,1.817215443,486.0617371,1.214743137,
484.997406,2.516683817,,,484.997406,2.282134771,484.997406,1.755547166,484.997406,1.172587037,
483.9328613,2.460413694,,,483.9328613,2.226127386,483.9328613,1.704101324,483.9328613,1.137789726,
483.0202026,2.37458396,,,483.0202026,2.137917519,483.0202026,1.635436773,483.0202026,1.091005564,
481.9552002,2.280295849,,,481.9552002,2.041333914,481.9552002,1.557468772,481.9552002,1.039933562,
481.0422058,2.177698851,,,481.0422058,1.952448845,481.0422058,1.486569643,481.0422058,0.9899170399,
479.9768066,2.083864212,,,479.9768066,1.862720728,479.9768066,1.414723635,479.9768066,0.9412732124,
479.0634155,2.011193991,,,479.0634155,1.79147768,479.0634155,1.357224226,479.0634155,0.9029823542,
477.9975891,1.90286243,,,477.9975891,1.697055817,477.9975891,1.282973051,477.9975891,0.8521086574,
476.9315491,1.80532217,,,476.9315491,1.603497267,476.9315491,1.211681366,476.9315491,0.8054870963,
